project_name,average_cbo,average_dit,average_lcom,sum_loc,stars,releases,age
QR-Code-generator,3.947368421052632,1.4210526315789471,0.3915461747368421,1823,5201,3,8.44
hbase,8.079960951366703,1.49724884629038,0.3423569006652466,927343,5200,43,10.34
linuxdeploy,7.162162162162162,1.648648648648649,0.2944229956756757,2693,5193,37,12.09
google-authenticator,3.885245901639344,1.6885245901639343,0.3319188522950819,3935,5191,0,9.96
BasePopup,5.887323943661972,1.6954225352112675,0.2841059239964789,28287,5191,15,8.69
Android-Touch-Helper,4.127272727272727,1.181818181818182,0.1543510538181818,2257,5190,112,3.93
spring-data-examples,2.61313758135311,1.0083245043136069,0.1500466160163462,50652,5174,0,10.64
okdownload,6.440233236151603,1.2653061224489797,0.2535395021865889,18986,5165,8,6.77
otto,2.4352941176470586,1.388235294117647,0.1380789618823529,1987,5164,0,12.24
springboot-guide,4.093525179856115,1.1798561151079137,0.0708226283453237,1494,5155,0,5.82
traccar,5.554107648725212,1.9422096317280453,0.111109184721813,64852,5155,54,12.44
smartTable,5.126373626373627,1.1895604395604396,0.1582211403571428,14165,5152,44,6.87
thumbnailator,4.062780269058296,1.2376681614349776,0.1573723987174887,19559,5146,0,9.16
JS-Sorting-Algorithm,3.583333333333333,1.0,0.1027777833333333,389,5134,0,7.67
ctci,1.9581993569131837,1.1189710610932475,0.1627872071061093,11244,5130,0,11.5
jeepay,8.99812030075188,1.973684210526316,0.2505198590789473,16581,5085,0,7.11
web3j,4.374798061389337,1.7116316639741518,0.239213208871567,41102,5071,115,8.05
jetcache,6.031390134529148,1.6367713004484306,0.2300235138071749,18011,5066,66,7.45
graphhopper,6.697454545454545,1.2516363636363637,0.2792963498472727,95713,5055,43,12.59
views-widgets-samples,4.026315789473684,1.730263157894737,0.281729449375,7334,5050,0,5.04
Small,3.8054054054054056,1.4756756756756757,0.1349271831891892,7726,5041,25,8.82
android-common,4.4363636363636365,1.2454545454545454,0.4595297149999999,6707,5016,1,10.32
DKVideoPlayer,5.326259946949602,1.5915119363395225,0.2938083241193634,18446,5012,32,7.45
UltraViewPager,5.208333333333333,1.375,0.2390680245833333,1518,5002,10,7.49
dialogplus,5.241379310344827,1.0344827586206895,0.1986598762068965,1047,5000,9,9.78
android-zxingLibrary,4.711538461538462,1.3269230769230769,0.3221675669230769,2018,4998,0,8.16
GravitySnapHelper,6.375,1.75,0.27187185,610,4997,14,8.06
opentsdb,7.1481876332622605,1.288912579957356,0.2390280175415778,103599,4991,26,14.07
InstaMaterial,4.7875,1.5375,0.24322497225,2223,4991,1,9.86
Luyten,2.3488372093023258,1.5426356589147288,0.2119806960465116,6750,4990,17,11.2
spring-mvc-showcase,5.172413793103448,1.206896551724138,0.1200636310344827,1281,4985,0,13.31
LayoutManagerGroup,4.9523809523809526,1.5714285714285714,0.2821665673015873,2285,4980,0,6.4
dddsample-core,6.806060606060606,1.1393939393939394,0.2444819422121212,4728,4973,0,9.64
joda-time,8.562724014336917,2.281362007168459,0.4786073387455197,91652,4971,48,13.36
bitcoinj,6.572085889570552,1.8251533742331287,0.2842123579171779,47206,4960,9,10.84
RxJava2-Android-Samples,3.6648648648648647,1.254054054054054,0.1888588582162162,3992,4959,0,8.07
sofa-boot,5.137755102040816,1.1989795918367347,0.1820083987636054,32599,4950,78,6.48
NavigationTabBar,4.017241379310345,1.3103448275862069,0.1019105977586207,2538,4949,13,8.48
novel,4.323232323232324,1.0707070707070707,0.212185403080808,4421,4936,11,4.87
CloudReader,4.75,1.4552845528455285,0.1996327388211382,19393,4934,25,7.84
CameraView,5.597378277153558,1.3745318352059923,0.186282644653558,21155,4928,42,7.18
reactor-core,6.887645478961504,1.538943598925694,0.2575499968925694,201084,4927,185,8.87
RippleEffect,3.421052631578948,1.368421052631579,0.1358855368421052,504,4924,0,9.94
YCSB,6.991452991452992,1.6282051282051282,0.393841831068376,22046,4913,55,14.43
shopping-management-system,3.5670103092783507,1.3608247422680413,0.3737366103092784,5299,4912,0,8.85
folding-cell-android,4.142857142857143,1.3333333333333333,0.1862795638095238,812,4901,0,8.48
mapdb,3.2395437262357416,2.022813688212928,0.1467914400760456,20198,4886,0,12.1
picocli,2.876764199655766,1.1101549053356283,0.1226847421411359,95430,4883,85,7.64
easy-rules,5.092592592592593,1.3148148148148149,0.2177362336419753,4857,4872,10,11.54
gpmall,5.009433962264151,1.3608490566037736,0.1830468348113207,8865,4867,0,5.18
react-native-linear-gradient,5.157894736842105,1.631578947368421,0.2033232178947368,488,4864,18,9.48
spring-cloud-netflix,7.502242152466367,1.1973094170403586,0.2027951718520179,7900,4863,14,10.2
XUI,5.634278817139409,1.6107423053711527,0.2688530026988533,91066,4858,23,5.71
wvp-GB28181-pro,8.745182012847966,1.271948608137045,0.4361005115631692,36293,4835,0,3.85
usb-serial-for-android,6.317460317460317,1.3333333333333333,0.3653173692063492,8088,4834,31,11.23
Transitions-Everywhere,6.870466321243524,1.6787564766839378,0.2064629655440414,9485,4828,23,9.94
roncoo-pay,5.192893401015229,1.2893401015228427,0.3758496089847715,20047,4826,0,8.17
spring-authorization-server,10.249235474006117,1.382262996941896,0.295589961498471,35366,4824,59,4.52
packer-ng-plugin,2.806451612903226,1.3870967741935485,0.3302013987096774,1776,4824,1,8.83
xpay,6.428571428571429,1.0,0.4481968390476191,1449,4819,0,6.78
pmd,5.237242853326209,2.0571733903286136,0.2010814369772909,122202,4810,95,12.2
lucida,6.518656716417911,1.611940298507463,0.326194616402985,23221,4808,0,10.36
react-native-config,4.565217391304348,1.391304347826087,0.1195652217391304,428,4805,25,8.58
QLExpress,4.211309523809524,1.5535714285714286,0.1505762282142857,12466,4797,5,7.52
reactive-streams-jvm,3.122004357298475,1.2766884531590414,0.0953573307843137,15738,4795,0,10.57
armeria,6.349101390301797,1.3343506273312988,0.2222058320076297,273554,4790,243,8.85
JustTrustMe,2.555555555555556,1.1851851851851851,0.0235690222222222,598,4789,1,10.16
cglib,3.218875502008032,1.5321285140562249,0.1654957471987951,17670,4785,15,10.49
strimzi-kafka-operator,11.96051779935275,1.5126213592233009,0.3740716005631068,137628,4773,141,8.38
Android-ConvenientBanner,4.827586206896552,1.4482758620689655,0.2460474772413793,848,4772,0,9.75
nifi,6.774454709972378,1.4671873511763025,0.3108060628167444,636313,4769,0,9.78
ignite,5.540238591175914,1.6295209240674116,0.2416890322320583,1130589,4769,0,9.59
AppManager,7.946159368269921,1.460875807609476,0.3386519216295764,113964,4768,69,4.31
runelite,6.228280961182994,1.3863216266173752,0.2751338590480591,223142,4764,0,8.39
AndroidStaggeredGrid,5.861111111111111,1.8611111111111112,0.325732825,4010,4758,7,10.78
openai-java,5.387878787878788,1.084848484848485,0.0972455676969697,2783,4742,22,4.02
lwjgl3,6.654941563599229,2.2834449109270394,0.7435680379083172,954150,4742,19,11.75
logisim-evolution,5.97684437264405,2.4415724286483576,0.4165144334308023,156781,4741,30,10.01
cameraview,4.833333333333333,1.2638888888888888,0.1947912163888888,2983,4735,0,8.13
orientdb,6.736405707674508,1.631315079059005,0.3002132657319706,475914,4730,214,11.78
DesignPattern,2.538071065989848,1.2791878172588833,0.0902042538071065,2603,4730,0,7.92
sodium-fabric,6.235973597359736,1.4042904290429044,0.3029156192574257,23635,4726,40,4.64
baseAdapter,4.88,1.32,0.1708889192,1563,4725,0,9.14
android-tips-tricks,1.0,1.0,0.25,22,4719,0,8.07
reflections,2.771573604060914,1.1522842639593909,0.0800599690355329,4782,4712,3,11.44
java-faker,4.115555555555556,1.448888888888889,0.0986690212444444,6710,4708,0,13.3
keepass2android,4.516062176165804,1.667357512953368,0.3244908191502591,67632,4707,27,7.0
SwitchButton,4.37037037037037,1.4074074074074074,0.1089109796296296,1543,4707,0,10.04
ActiveAndroid,5.67741935483871,2.5806451612903225,0.198541058548387,3158,4705,0,11.85
querydsl,5.1834777227722775,2.038675742574257,0.2410671446296411,98636,4705,35,13.13
Geyser,8.073584905660377,1.9933962264150944,0.2394861635075472,51913,4702,0,5.21
library,6.788617886178862,1.0406504065040652,0.2308670459349593,1770,4702,0,5.7
spring-security-oauth,6.155155155155155,1.6396396396396395,0.215846675043043,35257,4693,0,13.16
chuck,5.904761904761905,1.380952380952381,0.2447306795238095,1698,4686,5,7.62
Android-IMSI-Catcher-Detector,5.059760956175299,1.330677290836653,0.1675928281992032,12171,4685,48,10.83
Spring-Boot-In-Action,3.8656716417910446,1.1194029850746268,0.2198696146268656,2714,4683,0,5.65
midjourney-proxy,5.9,1.2444444444444445,0.2097882615555555,2787,4682,0,1.42
bisq,7.438990951466959,1.744721689059501,0.2129433093279407,176460,4682,138,10.53
TelegramBots,9.995363214837711,2.236476043276661,0.3194021870015455,17832,4679,101,8.69
mall4j,6.028497409326425,1.137305699481865,0.1056794222279792,6724,4678,5,5.22
oshi,5.5810147299509,1.5662847790507366,0.3585816527986907,31930,4673,157,12.62
MaterialDateTimePicker,6.589041095890411,1.4657534246575343,0.2880742702739725,7536,4670,54,9.72
dynamic-datasource,4.817073170731708,1.1524390243902438,0.1929266920121951,4807,4668,18,6.4
mybatis,3.751684311838306,1.277189605389798,0.2340844171174206,39118,4665,0,9.89
cardslib,5.901356350184956,2.177558569667078,0.2420959442416769,32257,4664,27,11.0
shattered-pixel-dungeon,6.332938856015779,2.859171597633136,0.2040704696619329,147337,4658,50,10.14
rstudio,5.563447379818103,1.4387180597661324,0.216655466974159,227315,4653,0,13.79
